date,time,color,white,black,opponent,result,opening,eco,termination,time_control,time_class,user_rating,opp_rating,rating_diff,moves,plies,captures,checks,castles,promotions,pawn_moves,piece_moves,link
2025.05.20,11:16:53,black,AlaaKhodeir,NafsinFerdous,AlaaKhodeir,win,Sicilian Defense Open Scheveningen Sozin Main Line,B89,NafsinFerdous won by resignation,5:00,Unknown,1194,1304,-110,27,54,16,1,2,0,11,43,https://www.chess.com/game/live/138661800106
2025.05.20,11:24:26,white,NafsinFerdous,practice-langg,practice-langg,loss,Pirc Defense Classical Quiet Chigorin Line 7.d5,B08,practice-langg won by checkmate,5:00,Unknown,1178,1224,-46,44,88,23,13,2,0,17,71,https://www.chess.com/game/live/138662014198
2025.05.21,18:54:49,white,NafsinFerdous,topBunk,topBunk,win,Ruy Lopez Opening Morphy Defense Modern Steinitz Defense 5.O O Bd7 6.d4 Nf6 7.c3,C72,NafsinFerdous won by checkmate,5:00,Unknown,1178,1227,-49,23,45,11,2,2,0,15,30,https://www.chess.com/game/live/138713611586
2025.05.22,09:01:53,black,Abeeroff,NafsinFerdous,Abeeroff,win,Sicilian Defense 2.Nf3 d6 3.Bc4 Nc6,B50,NafsinFerdous won - game abandoned,10:00,Unknown,1189,1149,40,32,64,14,2,1,0,17,47,https://www.chess.com/game/live/138731429192
2025.05.23,09:38:47,white,NafsinFerdous,mexmike1,mexmike1,loss,Sicilian Defense Nimzowitsch Variation,B29,mexmike1 won by checkmate,2:00 + 1s,Unknown,1125,1153,-28,6,12,4,2,0,0,6,6,https://www.chess.com/game/live/138768907876
2025.05.27,10:52:46,white,NafsinFerdous,dtorbin123123,dtorbin123123,win,Petrovs Defense Classical Variation,C42,NafsinFerdous won by resignation,5:00,Unknown,1195,1161,34,43,85,21,4,2,0,21,64,https://www.chess.com/game/live/138913111240
2025.05.27,11:00:58,black,dtorbin123123,NafsinFerdous,dtorbin123123,draw,Sicilian Defense Open Classical Variation 6.Nxc6 bxc6,B56,Game drawn by repetition,5:00,Unknown,1193,1162,31,37,73,19,3,2,0,17,56,https://www.chess.com/game/live/138913337502
2025.05.29,18:24:07,black,Chivo_Inl,NafsinFerdous,Chivo_Inl,loss,Queens Pawn Opening Accelerated London System 2...e6 3.e3 c5 4.c3,D00,Chivo_Inl won on time,5:00,Unknown,1178,1223,-45,36,71,19,6,2,0,22,49,https://www.chess.com/game/live/139001244636
2025.05.29,18:34:32,white,NafsinFerdous,maria2022kyhtun,maria2022kyhtun,win,Ruy Lopez Opening Old Steinitz Defense 4.O O,C62,NafsinFerdous won by resignation,5:00,Unknown,1193,1173,20,34,67,20,6,2,0,17,50,https://www.chess.com/game/live/139001576786
2025.05.29,18:41:52,white,NafsinFerdous,PK40here,PK40here,win,Kings Pawn Opening Kings Knight Variation,C40,NafsinFerdous won by checkmate,5:00,Unknown,1207,1173,34,7,13,2,1,0,0,6,7,https://www.chess.com/game/live/139001809374
2025.05.30,09:35:49,black,byrontucker,NafsinFerdous,byrontucker,win,Sicilian Defense,B20,NafsinFerdous won by resignation,10:00,Unknown,1201,1201,0,30,60,15,7,1,0,16,44,https://www.chess.com/game/live/139021116424
2025.06.04,19:09:55,black,EduardoGilberti,NafsinFerdous,EduardoGilberti,win,Caro Kann Defense Panov Attack,B13,NafsinFerdous won by resignation,10:00,Unknown,1212,1190,22,25,49,21,5,2,0,13,36,https://www.chess.com/game/live/139217859508
2025.06.04,19:15:53,white,NafsinFerdous,nader01,nader01,win,Scotch Game 3...exd4 4.Nxd4 Nxd4 5.Qxd4,C45,NafsinFerdous won by checkmate,5:00,Unknown,1221,1197,24,40,79,20,7,2,2,25,54,https://www.chess.com/game/live/139218047588
2025.06.04,19:21:55,black,Lobsangoten,NafsinFerdous,Lobsangoten,loss,Italian Game Two Knights Modern Bishops Opening...5.c3 O O 6.Nbd2 d6,C55,Lobsangoten won by resignation,2:00 + 1s,Unknown,1089,1153,-64,38,75,17,5,2,0,17,58,https://www.chess.com/game/live/139218237796
2025.06.04,19:27:16,white,NafsinFerdous,Gagana7,Gagana7,win,Sicilian Defense Open Dragon Yugoslav Attack,B75,NafsinFerdous won by resignation,2:00 + 1s,Unknown,1119,1039,80,18,36,10,4,1,0,11,25,https://www.chess.com/game/live/139218405468
2025.06.04,19:30:45,white,NafsinFerdous,metal_jps71,metal_jps71,win,Ruy Lopez Opening Berlin Defense 4.O O,C65,NafsinFerdous won by checkmate,5:00,Unknown,1235,1220,15,35,69,19,7,2,0,16,53,https://www.chess.com/game/live/139218513836
2025.06.05,10:36:15,black,MallenXYT,NafsinFerdous,MallenXYT,win,Queens Pawn Opening Zukertort Chigorin Variation 3.Bf4,D02,NafsinFerdous won by resignation,5:00,Unknown,1237,735,502,13,25,10,2,0,0,7,18,https://www.chess.com/game/live/143433608711
2025.06.05,10:38:47,black,MashiloaneAsh,NafsinFerdous,MashiloaneAsh,loss,Van t Kruijs Opening 1...c5,A00,MashiloaneAsh won by checkmate,5:00,Unknown,1234,1586,-352,34,67,19,3,2,0,17,50,https://www.chess.com/game/live/143433613003
2025.06.05,10:45:12,black,Aven0206,NafsinFerdous,Aven0206,win,Sicilian Defense Old Sicilian Variation,B30,NafsinFerdous won by checkmate,5:00,Unknown,1245,1170,75,19,38,9,2,2,0,16,22,https://www.chess.com/game/live/143434206903
